raceId,constructorId,points,status
Bahrain Grand Prix,ferrari,25,Finished
Bahrain Grand Prix,ferrari,18,Finished
Bahrain Grand Prix,mclaren,15,Finished
Bahrain Grand Prix,red_bull,12,Finished
Bahrain Grand Prix,mercedes,10,Finished
Bahrain Grand Prix,mercedes,8,Finished
Bahrain Grand Prix,mclaren,6,Finished
Bahrain Grand Prix,red_bull,4,Finished
Bahrain Grand Prix,force_india,2,Finished
Bahrain Grand Prix,williams,1,Finished
Bahrain Grand Prix,renault,0,Finished
Bahrain Grand Prix,force_india,0,Finished
Bahrain Grand Prix,toro_rosso,0,Finished
Bahrain Grand Prix,williams,0,+1 Lap
Bahrain Grand Prix,lotus_racing,0,+2 Laps
Bahrain Grand Prix,toro_rosso,0,Electrical
Bahrain Grand Prix,lotus_racing,0,Hydraulics
Bahrain Grand Prix,sauber,0,Hydraulics
Bahrain Grand Prix,hrt,0,Overheating
Bahrain Grand Prix,virgin,0,Gearbox
Bahrain Grand Prix,renault,0,Suspension
Bahrain Grand Prix,sauber,0,Hydraulics
Bahrain Grand Prix,virgin,0,Hydraulics
Bahrain Grand Prix,hrt,0,Accident
Australian Grand Prix,mclaren,25,Finished
Australian Grand Prix,renault,18,Finished
Australian Grand Prix,ferrari,15,Finished
Australian Grand Prix,ferrari,12,Finished
Australian Grand Prix,mercedes,10,Finished
Australian Grand Prix,mclaren,8,Finished
Australian Grand Prix,red_bull,25,Finished
Australian Grand Prix,mclaren,18,Finished
Australian Grand Prix,renault,15,Finished
Australian Grand Prix,ferrari,12,Finished
Australian Grand Prix,red_bull,10,Finished
Australian Grand Prix,mclaren,8,Finished
Australian Grand Prix,ferrari,6,Finished
Australian Grand Prix,toro_rosso,4,+1 Lap
Australian Grand Prix,force_india,2,+1 Lap
Australian Grand Prix,force_india,1,+1 Lap
Australian Grand Prix,toro_rosso,0,+1 Lap
Australian Grand Prix,renault,0,+1 Lap
Australian Grand Prix,lotus_racing,0,+2 Laps
Australian Grand Prix,virgin,0,+4 Laps
Australian Grand Prix,virgin,0,+9 Laps
